Embed;Content
sebelum mengajar;"1. Mengambil kunci ruangan, spidol, remote infokus dan microphone di 724 Support Administration Staff.
2. Masuk ke dalam ruangan asistensi dan catatkan kehadiran dengan melakukan login messier dan scan barcode binusmaya 20 menit sebelum kelas dimulai.
3. Login zoom, pastikan recording sudah menyala, dan pastikan speaker dan microphone dapat digunakan.
4. Ruman (Clear Drive D, Clear FTP, buka software yang diperlukan, buka slc.net)"
Kunci ruangan;Mengambil kunci ruangan, spidol, remote infokus dan microphone di 724 Support Administration Staff.
Ruman sebelum mengajar;Clear Drive D, Clear FTP, buka software yang diperlukan, buka slc.net, dan buka poster yang diperlukan seperti poster NAR
sesudah mengajar;"1. Mengisi attendance log dan session log di binusmaya.
2. Verifikasi pertemuan pada messier.
3. Ruman clear all drive dan FTP
4. Rapihkan ruangan (rapihkan kursi dan hapus papan tulis)
5. Matikan proyektor
6. Pastikan tidak ada yang ketinggalan
7. Matikan lampu"
pengajar berhalangan ;Jika asisten yang berhalangan bertugas, maka asisten tersebut wajib mencari asisten lain sebagai pengganti dan melaporkannya ke Operations Management Officer (Leader) paling lambat satu shift sebelum transaksi tersebut berjalan.
telat untuk mengajar;Batas waktu telat untuk mengajar adalah 30 menit setelah kelas dimulai, jika asisten telat kurang dari 30 menit maka asisten masih dapat mengajar kelas tersebut tanpa digantikan, jika lewat dari 30 menit maka pengajar akan digantikan dan tidak boleh menggantikannya kembali. Izin ke Operations Management Officer (Leader) jika ada berhalangan atau akan telat.
ruman sesudah mengajar;Clear Drive D dan Clear FTP
