Course Code;Course name;Type;Link Download
ISYS6898;Algorithm&Programming;TM2;https://drive.google.com/file/d/13RtCkOsWH8BJWL99QJLNhHsPTrF-s0ce/view?usp=sharing
ISYS6898;Algorithm&Programming;TM3;https://drive.google.com/file/d/1T7UJpv2HSS8LyntbcSjZM6qSEwzyBbtE/view?usp=sharing
ISYS6898;Algorithm&Programming;TM4;https://drive.google.com/file/d/1SqPXBTMo-8qsPz7rCTtETrbAH8SCXFJL/view?usp=sharing
ISYS6898;Algorithm&Programming;UAP;https://drive.google.com/file/d/1SdfGHTFsS5bvnR6Ufig0FRIOqeV58sf2/view?usp=sharing
MATH6168;ComputerVision;PRY;https://drive.google.com/file/d/1n03uWFKyDR0JzyDKpZedXlrNwtktEM8i/view?usp=sharing
MATH6168;ComputerVision;TM1;https://drive.google.com/file/d/11iS39fSOD83hhmTm7hx55IVt53E2poFP/view?usp=sharing
MATH6183;ScientificComputing;TM1;https://drive.google.com/file/d/1uhKRfA1iV3-X5YqbSokbBAlc0rJYXq_c/view?usp=sharing
MOBI6002;MobileObjectOrientedProgramming;TM1;https://drive.google.com/file/d/1t57UG-NKc7uQKF21hxAZC7TUoV8mA1IA/view?usp=sharing
MOBI6002;MobileObjectOrientedProgramming;UAP;https://drive.google.com/file/d/10NIhrXEhvWCy8R1vekO6aIp8yzSS_Anm/view?usp=sharing
MOBI6021;MobileCommunitySolution&MobileProgramming;PRY;https://drive.google.com/file/d/1b7xXabO-8TEeZbP8d-_HXlrtLJ11ahgY/view?usp=sharing
MOBI6021;MobileCommunitySolution&MobileProgramming;TM1;https://drive.google.com/file/d/1lheea9MwJjoLB6ExwAAiG9e_U2H3XlnD/view?usp=sharing
MOBI6006;MobileCommunitySolution&MobileProgramming;PRY;https://drive.google.com/file/d/1b7xXabO-8TEeZbP8d-_HXlrtLJ11ahgY/view?usp=sharing
MOBI6006;MobileCommunitySolution&MobileProgramming;TM1;https://drive.google.com/file/d/1lheea9MwJjoLB6ExwAAiG9e_U2H3XlnD/view?usp=sharing
MOBI6009;MobileMultimediaSolution;PRY;https://drive.google.com/file/d/1BEYb1sDqb6wP8RMjrx50Vxtokp3EVQaI/view?usp=sharing
MOBI6009;MobileMultimediaSolution;TM1;https://drive.google.com/file/d/18djliQussaRG0kRASO2oa3CrQmjFasz-/view?usp=sharing
MOBI6021;MobileProgramming;PRY;https://drive.google.com/file/d/18UZsS-4YWk1C49KfZOsf0XDYkoYRiUJq/view?usp=sharing
MOBI6021;MobileProgramming;TM1;https://drive.google.com/file/d/1nBPeV0H0mWXACp4yHiwl8jVTNzP7MbiG/view?usp=sharing
MOBI6026;MobileCloudComputing;PRY;https://drive.google.com/file/d/1fFg1XTezBBnIhewhLv87aA03DJW66dBY/view?usp=sharing
SCIE6062;ComputationalBiology;TM1;https://drive.google.com/file/d/12zsFukXUVx362GMZ09TRqueH6FWvMref/view?usp=sharing
SCIE6063;ComputationalPhysics;TM1;https://drive.google.com/file/d/1Vb3mh1qvCJfZH8mPFgfQSrzV4epa7JdZ/view?usp=sharing
